Source ID,Organization,Title,Source / Event Date,Accessed Date,Source Type,Key Fact / Use,URL,Confidence / Notes
S01,"Hagerty, Inc.",2025 Annual Report / Form 10-K,2026-02-26,2026-07-15,Official corporate filing,CNIC was renamed Drivers Edge; Enthusiast+ launched in Colorado in Q3 2025; phased nationwide rollout planned over four years.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,High; issuer-filed statement.
S02,U.S. Securities and Exchange Commission,Hagerty 2025 Form 10-K filing index,2026-02-26,2026-07-15,Official regulator filing index,Authenticates filing date and accession for the 2025 Form 10-K.,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000013/0001840776-26-000013-index.htm,High.
S03,"Hagerty, Inc.",First Quarter 2026 Earnings Webcast,2026-05-06,2026-07-15,Official issuer event page,Confirms the date and existence of the Q1 2026 earnings call.,https://investor.hagerty.com/events-and-presentations/,High; event metadata.
S04,Roic AI,Hagerty Q1 FY2026 Earnings Call Transcript,2026-05-06,2026-07-15,Third-party transcript of issuer call,"CFO stated E-Plus was in one state, Colorado, and was being rolled out over time.",https://www.roic.ai/quote/HGTY/transcripts/2026-year/1-quarter,"Medium-high; transcript is third party, event is independently confirmed."
S05,U.S. Securities and Exchange Commission,"Hagerty May 6, 2026 Form 8-K",2026-05-06,2026-07-15,Official corporate filing,Confirms the Q1 2026 results announcement and conference call date.,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000019/hgty-20260506.htm,High.
S06,Coverager,Hagerty expands Drivers Edge Enthusiast+ program to Wisconsin,2025-09-10,2026-07-15,Trade publication,Reported Wisconsin as the second state launch and listed product features/endorsement names.,https://coverager.com/hagerty-expands-drivers-edge-enthusiast-program-to-wisconsin/,Medium; later issuer statement conflicts with current-state count.
S07,U.S. Securities and Exchange Commission,Hagerty Q1 2026 Form 10-Q,2026-05-06,2026-07-15,Official corporate filing,Drivers Edge held certificates of authority in 42 states as of 2026-03-31; licensing is not product approval or launch evidence.,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,High.
S08,SERFF / NAIC,SERFF Filing Access,,2026-07-15,Official filing-access information,Explains that state-designated public filings may be searched and downloaded through participating SFA portals.,https://www.serff.com/serff_filing_access.htm,High.
S09,Colorado Department of Regulatory Agencies,DORA Public Information and Records,,2026-07-15,Official state records guidance,Lists the Division of Insurance records contact: DORA_INS_RulesandRecords@state.co.us.,https://dora.colorado.gov/public-information,High.
S10,Colorado Division of Insurance,Colorado SERFF Filing Access entry page,,2026-07-15,Official state filing portal,State entry point for public filing searches; direct deep-link extraction was session-restricted in this research environment.,https://filingaccess.serff.com/sfa/home/CO,High for portal; no attachment export retrieved.
S11,Colorado Division of Insurance,Current Rate Filing Database,,2026-07-15,Official state rate database,Supplementary state rate-search route.,https://www.dora.state.co.us/pls/real/ins_raf_report.main,High.
S12,Wisconsin Office of the Commissioner of Insurance,Policy Forms and Rate Filings - Search,2026-07-06,2026-07-15,Official state filing guidance,States that post-2015 electronic filings are available through SERFF Filing Access subject to Wisconsin public-access law.,https://oci.wi.gov/Pages/Companies/PolicyFormsRateFilingSearch.aspx,High.
S13,Wisconsin Office of the Commissioner of Insurance,Access to Public Records,2026-01-23,2026-07-15,Official state records guidance,"Provides the public-records email, phone, expected response windows, and fee guidance.",https://oci.wi.gov/Pages/AboutOCI/OpenRecords.aspx,High.
S14,Nebraska Department of Insurance,Summary of Insurance Business - Drivers Edge Insurance Company,2024-12-31,2026-07-15,Official state company record,Confirms Drivers Edge Insurance Company and NAIC ID 23795.,https://www.nebraska.gov/insurance/appointments/search/summary.cgi?naic=23795&rYear=2024&type=prop,High.
S15,Nebraska Department of Insurance,Former-name company summary,2023-12-31,2026-07-15,Official state company record,Confirms the same NAIC ID under the former name Consolidated National Insurance Company.,https://www.nebraska.gov/insurance/appointments/search/summary.cgi?naic=23795&rYear=2023&type=prop,High.
S16,Hagerty,Hagerty E-Docs,,2026-07-15,Official public forms index,"Crosscheck only. Inspected current-looking forms were labeled Essentia, not Drivers Edge, and were excluded from the Enthusiast+ filing set.",https://www.hagerty.com/edocs,High for observed carrier labels; not evidence of Drivers Edge filing contents.
S17,Hagerty / SCCA-hosted document,Motorsports Advantage marketing one-pager,,2026-07-15,Marketing reference; non-filing,"Feature reference only; not an official Drivers Edge rate, rule, form, or filing attachment.",https://cdn.connectsites.net/user_files/scca/downloads/000/079/109/23-5766-US-MSP-MotorsportsAdvantageEndorsment-OnePager-8.5x11%20%281%29.pdf,Reference only.
