Jurisdiction,Status Classification,Latest Verified Product Status,Evidence Date,Underwriter,NAIC Code,Candidate SERFF IDs,Filing ZIP Retrieved?,Rates / Rules Retrieved?,Forms Retrieved?,Confidence,Next Action,Primary Source URL,Corroborating / Conflicting Source URL,Notes
Alabama,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Alaska,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Arizona,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Arkansas,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
California,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Colorado,Verified active / pilot,"Enthusiast+ launched in Q3 2025. On 2026-05-06, Hagerty's CFO stated that E-Plus was in one state, Colorado.",2026-05-06,Drivers Edge Insurance Company,23795,134093487; 134444200 (state and product mapping unconfirmed),No,No,No,High on live status; low on candidate filing-ID mapping,Obtain the complete current-in-force SERFF export from the Colorado Division of Insurance and reconcile the candidate IDs.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.roic.ai/quote/HGTY/transcripts/2026-year/1-quarter,Colorado is the only currently verified active market. The official filing attachments were not retrievable from a public deep link without an active state SERFF session.
Connecticut,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Delaware,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
District of Columbia,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Florida,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
Georgia,No verified rollout found,No public evidence of a live Enthusiast+ rollout or a verified product filing was found in the reviewed sources through 2026-07-15.,,Drivers Edge Insurance Company,23795,,No,No,No,Unknown / not established,Recheck the state's SERFF Filing Access portal under the legal carrier name and product-name variants as the phased rollout progresses.,https://s28.q4cdn.com/107308082/files/doc_financials/2025/ar/4b3894e9-e517-492e-a004-ab01967e5a6d.pdf,https://www.sec.gov/Archives/edgar/data/1840776/000184077626000021/hgty-20260331.htm,"This is not proof that no filing exists. Drivers Edge's certificates of authority do not establish that Enthusiast+ is approved, offered, or in force in a given state."
