State,Document Category,Expected Contents,Status,Evidence / Current Path,Why It Matters,Retrieval Route
Colorado,Filing summary / transmittal,"SERFF tracking number, filing type, product name, company, dates, status",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Form schedule,"Complete form-number, edition-date, action and replacement schedule",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Base policy / policy jacket,"Full insuring agreement, definitions, exclusions, conditions",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,State amendatory endorsements,Mandatory state-specific amendments and exceptions,Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Coverage endorsements,"Motorsports, off-road, overlander, stated value, cherished salvage, spare parts and related options",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Applications / quote / declarations / notices,"Customer-facing application, selection, disclosure and notice forms",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Rate manual,"Base rates, territories, symbols, limits, deductibles, relativities and fees",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Rule manual,"Eligibility, underwriting, classification, cancellations, renewals and rating rules",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Rating algorithms / factors / tables,"All rating steps, factors, lookups and calculation logic made public",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
Colorado,Actuarial memorandum and exhibits,"Indications, assumptions, loss costs, expenses, trend, credibility and rate impact",Not retrieved,Candidate SERFF IDs exist but are not mapped; no official attachment ZIP was accessible through a direct public deep link.,"Required to build a complete, defensible latest-product packet rather than a marketing or legacy-form approximation.",Colorado DOI records request
